"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"110",1964,"3B ",291,"F",11,"length",135,0,1,0
"111",1964,"3B ",291,"F",15,"length",127,0,1,0
"112",1964,"3B ",291,"F",16,"length",172,0,1,0
"113",1964,"3B ",291,"F",18,"length",170,0,1,0
"114",1964,"3B ",291,"M",7,"length",81,7.54983443527075,3,4.35889894354067
"115",1964,"3B ",291,"M",8,"length",79.75,8.18026079453868,4,4.09013039726934
"116",1964,"3B ",291,"M",9,"length",90.3333333333333,12.8582010146573,3,7.4236858171067
"117",1964,"3B ",291,"M",10,"length",105.5,0.707106781186548,2,0.5
"118",1964,"3B ",291,"M",11,"length",107,0,1,0
"119",1964,"3B ",291,"M",13,"length",93,0,1,0
"120",1964,"3B ",300,"F",7,"length",100.6,15.2905199388379,5,6.8381283989115
"121",1964,"3B ",300,"F",8,"length",91,10.8100482356529,8,3.82192920619193
"122",1964,"3B ",300,"F",9,"length",104.5625,12.8839370276843,16,3.22098425692106
"123",1964,"3B ",300,"F",10,"length",132.666666666667,8.08290376865476,3,4.66666666666667
"124",1964,"3B ",300,"F",11,"length",111,14.9888847706114,4,7.4944423853057
"125",1964,"3B ",300,"F",12,"length",133,4.35889894354067,3,2.51661147842358
"126",1964,"3B ",300,"F",13,"length",132.777777777778,12.8819425726264,9,4.29398085754213
"127",1964,"3B ",300,"F",14,"length",152,24.0416305603426,2,17
"128",1964,"3B ",300,"F",17,"length",132.5,4.94974746830583,2,3.5
"129",1964,"3B ",300,"F",18,"length",115,0,1,0
"130",1964,"3B ",300,"M",7,"length",68.5,13.4350288425444,2,9.5
"131",1964,"3B ",300,"M",8,"length",75,0,1,0
"132",1964,"3B ",300,"M",9,"length",91.5,12.396235987858,4,6.19811799392902
"133",1964,"3B ",300,"M",10,"length",92,9.53939201416946,3,5.5075705472861
"134",1964,"3B ",300,"M",11,"length",115,0,1,0
"135",1964,"3B ",300,"M",13,"length",113,0,1,0
"136",1964,"3B ",310,"F",7,"length",81.6,8.73498712076898,5,3.90640499692492
"137",1964,"3B ",310,"F",8,"length",90,28.1424945589406,4,14.0712472794703
"138",1964,"3B ",310,"F",9,"length",110,12.3369364106329,11,3.7197262851403
"139",1964,"3B ",310,"F",10,"length",121,16.2726764854464,6,6.64329235645499
"140",1964,"3B ",310,"F",11,"length",136.111111111111,13.0904969772393,9,4.3634989924131
"141",1964,"3B ",310,"F",12,"length",135.5,4.94974746830583,2,3.5
"142",1964,"3B ",310,"F",13,"length",141,14.2302494707577,5,6.36396103067893
"143",1964,"3B ",310,"F",14,"length",171,0,1,0
"144",1964,"3B ",310,"F",15,"length",180,0,1,0
"145",1964,"3B ",310,"F",16,"length",173,9.89949493661167,2,7
"146",1964,"3B ",310,"F",17,"length",189,0,1,0
"147",1964,"3B ",310,"M",7,"length",77.4,15.2402974599142,10,4.81940521918075
"148",1964,"3B ",310,"M",8,"length",76,4.24264068711928,2,3
"149",1964,"3B ",310,"M",9,"length",83.7142857142857,14.5454951298135,7,5.49768040139825
"150",1964,"3B ",310,"M",10,"length",71,0,1,0
"151",1964,"3B ",310,"M",12,"length",97,0,1,0
"152",1964,"3B ",310,"M",13,"length",110,0,1,0
"153",1964,"3B ",310,"M",14,"length",134,0,1,0
"154",1965,"2B ",90,"F",7,"length",76,0,1,0
"155",1965,"2B ",90,"F",15,"length",122,0,1,0
"156",1965,"2B ",90,"M",10,"length",78,0,1,0
"157",1965,"2B ",91,"F",7,"length",88,10.1488915650922,3,5.85946527708232
"158",1965,"2B ",91,"F",8,"length",100,0,1,0
"159",1965,"2B ",91,"F",9,"length",97,5.65685424949238,2,4
"160",1965,"2B ",91,"F",11,"length",100,0,1,0
"161",1965,"2B ",91,"F",12,"length",134,0,1,0
"162",1965,"2B ",91,"F",17,"length",135,0,1,0
"163",1965,"2B ",91,"M",7,"length",77,0,1,0
"164",1965,"2B ",91,"M",8,"length",80,0,1,0
"165",1965,"2B ",91,"M",10,"length",99.6,7.43639697703128,5,3.32565782966318
"166",1965,"2B ",91,"M",11,"length",88,0,1,0
"167",1965,"2B ",102,"F",7,"length",87.5,26.1629509039023,2,18.5
"168",1965,"2B ",102,"F",8,"length",99,14.2828568570857,4,7.14142842854285
